[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] Swarm MPCIE (MPCIE) Bootloader
[2022-08-28 09:09:26.393] Copyright (c) 2019-22 Swarm Technologies, Inc
[2022-08-28 09:14:45.150] $RT RSSI=-113*1e
[2022-08-28 09:14:46.150] $RT RSSI=-112*1f
[2022-08-28 09:14:47.150] $RT RSSI=-112*1f
[2022-08-28 09:14:48.150] $RT RSSI=-112*1f
[2022-08-28 09:14:49.150] $RT RSSI=-113*1e
[2022-08-28 09:14:50.150] $RT RSSI=-112*1f
[2022-08-28 09:14:51.150] $RT RSSI=-113*1e
[2022-08-28 09:14:52.150] $RT RSSI=-112*1f
[2022-08-28 09:14:53.151] $RT RSSI=-113*1e
[2022-08-28 09:14:54.150] $RT RSSI=-112*1f
[2022-08-28 09:14:55.150] $RT RSSI=-113*1e
[2022-08-28 09:14:56.150] $RT RSSI=-113*1e
[2022-08-28 09:14:57.150] $RT RSSI=-113*1e
[2022-08-28 09:14:58.150] $RT RSSI=-113*1e
[2022-08-28 09:14:59.150] $RT RSSI=-112*1f
[2022-08-28 09:15:00.151] $RT RSSI=-113*1e
[2022-08-28 09:15:01.150] $RT RSSI=-112*1f
[2022-08-28 09:15:02.150] $RT RSSI=-112*1f
[2022-08-28 09:15:03.150] $RT RSSI=-113*1e
[2022-08-28 09:15:04.150] $RT RSSI=-113*1e
[2022-08-28 09:15:05.150] $RT RSSI=-113*1e
[2022-08-28 09:15:06.151] $RT RSSI=-112*1f
[2022-08-28 09:15:07.153] $RT RSSI=-113*1e
[2022-08-28 09:15:08.152] $RT RSSI=-113*1e
[2022-08-28 09:15:09.149] $RT RSSI=-113*1e
[2022-08-28 09:15:10.150] $RT RSSI=-112*1f
[2022-08-28 09:15:11.151] $RT RSSI=-113*1e
[2022-08-28 09:15:12.150] $RT RSSI=-112*1f
[2022-08-28 09:15:13.150] $RT RSSI=-112*1f
[2022-08-28 09:15:14.670] $RT RSSI=-112*1f
[2022-08-28 09:15:14.677] $MT C=U*12
[2022-08-28 09:15:15.258] $MT 10*38
[2022-08-28 09:15:15.258] $RT RSSI=-112*1f
[2022-08-28 09:15:16.150] $RT RSSI=-112*1f
[2022-08-28 09:15:17.150] $RT RSSI=-113*1e
[2022-08-28 09:15:18.150] $RT RSSI=-113*1e
[2022-08-28 09:15:19.151] $RT RSSI=-113*1e
[2022-08-28 09:15:20.150] $RT RSSI=-113*1e
[2022-08-28 09:15:21.150] $RT RSSI=-112*1f
[2022-08-28 09:15:22.150] $RT RSSI=-112*1f
[2022-08-28 09:15:23.150] $RT RSSI=-113*1e
[2022-08-28 09:15:24.150] $RT RSSI=-113*1e
[2022-08-28 09:15:25.149] $RT RSSI=-113*1e
[2022-08-28 09:15:26.151] $RT RSSI=-113*1e
[2022-08-28 09:15:27.150] $RT RSSI=-112*1f
[2022-08-28 09:15:28.150] $RT RSSI=-113*1e
[2022-08-28 09:15:29.149] $RT RSSI=-112*1f
[2022-08-28 09:15:30.151] $RT RSSI=-112*1f
[2022-08-28 09:15:31.150] $RT RSSI=-112*1f
[2022-08-28 09:15:32.150] $RT RSSI=-113*1e
[2022-08-28 09:15:33.150] $RT RSSI=-113*1e
[2022-08-28 09:15:34.150] $RT RSSI=-113*1e
[2022-08-28 09:15:35.150] $RT RSSI=-113*1e
